date,location,total_vaccinations,total_distributed,people_vaccinated,people_fully_vaccinated_per_hundred,total_vaccinations_per_hundred,people_fully_vaccinated,people_vaccinated_per_hundred,distributed_per_hundred,daily_vaccinations_raw,daily_vaccinations,daily_vaccinations_per_million,share_doses_used,median_income_2017
5/4/2021,Missouri,4096058,5369365,2344903,28.62,66.74,1756227,38.21,87.49,10476,31640,5155,0.763,56885.00
5/4/2021,Montana,774946,1003745,441030,33.08,72.51,353547,41.26,93.92,851,5566,5208,0.772,59087.00
5/4/2021,Nebraska,1463240,1812310,844553,34.46,75.64,666579,43.66,93.69,0,11790,6095,0.807,59619.00
5/4/2021,Nevada,2111052,2569060,1239579,29.17,68.54,898594,40.24,83.41,2265,17040,5532,0.822,56550.00
5/4/2021,New Hampshire,1157226,1353385,830096,30.18,85.11,410323,61.05,99.53,3378,3556,2615,0.855,74801.00
5/4/2021,New Jersey,7518475,9006975,4660766,37.77,84.65,3354569,52.47,101.4,49604,66588,7497,0.835,72997.00
5/4/2021,New Mexico,1852022,2082125,1086281,39,88.32,817718,51.81,99.3,1638,14660,6992,0.889,47855.00
5/4/2021,New York State,16178509,19347575,9460031,36.36,83.16,7072752,48.63,99.46,113658,170878,8784,0.836,62447.00
5/4/2021,North Carolina,7227406,10101810,4173701,30.63,68.91,3212803,39.79,96.32,27196,58984,5624,0.715,50343.00
5/4/2021,North Dakota,567924,647200,300916,33.25,74.52,253372,39.49,84.93,364,2165,2841,0.878,59886.00
5/4/2021,Ohio,8577643,10747775,4783268,33.5,73.38,3915682,40.92,91.95,14488,65358,5591,0.798,59768.00
5/4/2021,Oklahoma,2723545,3782545,1537843,30.33,68.83,1199983,38.86,95.59,2543,12940,3270,0.72,55006.00
5/4/2021,Oregon,3178607,4083255,1936421,32.1,75.36,1353950,45.91,96.81,18575,34617,8207,0.778,64610.00
5/4/2021,Pennsylvania,10438087,12985685,6509831,33.65,81.53,4308237,50.85,101.43,71025,105920,8274,0.804,63173.00
5/4/2021,Rhode Island,947446,1169975,567918,38.65,89.44,409424,53.61,110.44,6785,8766,8275,0.81,66390.00
5/4/2021,South Carolina,3317032,4616505,1906089,28.39,64.42,1461521,37.02,89.66,2029,21975,4268,0.719,54971.00
5/4/2021,South Dakota,713850,904295,398802,38.08,80.69,336891,45.08,102.22,2371,4712,5326,0.789,56894.00
5/4/2021,Tennessee,4116429,5559400,2376198,25.49,60.28,1740456,34.79,81.41,6856,32466,4754,0.74,55240.00
5/4/2021,Texas,19350193,26000725,11253017,28.04,66.73,8130177,38.81,89.67,73544,161661,5575,0.744,59295.00
5/4/2021,Utah,2201015,2614680,1289439,24.96,68.65,800160,40.22,81.56,33028,18893,5893,0.842,71319.00
5/4/2021,Vermont,595369,710550,361667,39.87,95.41,248809,57.96,113.87,5704,7356,11789,0.838,63805.00
5/4/2021,Virginia,6888785,8451965,4107915,34.59,80.71,2952623,48.13,99.02,41048,69502,8143,0.815,71293.00
5/4/2021,Washington,6056250,7597610,3637897,33.79,79.53,2573072,47.77,99.77,14913,63251,8306,0.797,75418.00
5/4/2021,West Virginia,1188740,1664475,645160,31.01,66.33,555684,36,92.88,2743,6542,3650,0.714,45392.00
5/4/2021,Wisconsin,4767068,5458225,2695375,36.72,81.87,2137739,46.29,93.74,5526,37833,6498,0.873,63451.00
5/4/2021,Wyoming,361199,483595,198293,28.34,62.41,163997,34.26,83.56,2654,1786,3086,0.747,57837.00
,,,,,,,,,,,,,,
